Episode,Score,AvgScore
1,500.0000,500.0000
2,500.0000,500.0000
3,500.0000,500.0000
4,500.0000,500.0000
5,500.0000,500.0000
6,500.0000,500.0000
7,500.0000,500.0000
8,500.0000,500.0000
9,500.0000,500.0000
10,500.0000,500.0000
11,500.0000,500.0000
12,500.0000,500.0000
13,500.0000,500.0000
14,500.0000,500.0000
15,500.0000,500.0000
16,500.0000,500.0000
17,500.0000,500.0000
18,500.0000,500.0000
19,500.0000,500.0000
20,500.0000,500.0000
21,500.0000,500.0000
22,500.0000,500.0000
23,500.0000,500.0000
24,500.0000,500.0000
25,500.0000,500.0000
26,500.0000,500.0000
27,500.0000,500.0000
28,500.0000,500.0000
29,500.0000,500.0000
30,500.0000,500.0000
31,500.0000,500.0000
32,500.0000,500.0000
33,500.0000,500.0000
34,500.0000,500.0000
35,500.0000,500.0000
36,500.0000,500.0000
37,500.0000,500.0000
38,500.0000,500.0000
39,500.0000,500.0000
40,500.0000,500.0000
41,500.0000,500.0000
42,500.0000,500.0000
43,500.0000,500.0000
44,500.0000,500.0000
45,500.0000,500.0000
46,500.0000,500.0000
47,500.0000,500.0000
48,500.0000,500.0000
49,500.0000,500.0000
50,500.0000,500.0000
51,500.0000,500.0000
52,500.0000,500.0000
53,500.0000,500.0000
54,500.0000,500.0000
55,500.0000,500.0000
56,500.0000,500.0000
57,500.0000,500.0000
58,500.0000,500.0000
59,500.0000,500.0000
60,500.0000,500.0000
61,500.0000,500.0000
62,500.0000,500.0000
63,500.0000,500.0000
64,500.0000,500.0000
65,500.0000,500.0000
66,433.0000,498.9848
67,500.0000,499.0000
68,495.0000,498.9412
69,500.0000,498.9565
70,500.0000,498.9714
71,500.0000,498.9859
72,500.0000,499.0000
73,500.0000,499.0137
74,500.0000,499.0270
75,500.0000,499.0400
76,280.0000,496.1579
77,500.0000,496.2078
78,500.0000,496.2564
79,500.0000,496.3038
80,500.0000,496.3500
81,500.0000,496.3951
82,500.0000,496.4390
83,500.0000,496.4819
84,500.0000,496.5238
85,500.0000,496.5647
86,500.0000,496.6047
87,500.0000,496.6437
88,500.0000,496.6818
89,500.0000,496.7191
90,378.0000,495.4000
91,401.0000,494.3626
92,500.0000,494.4239
93,500.0000,494.4839
94,500.0000,494.5426
95,302.0000,492.5158
96,500.0000,492.5938
97,500.0000,492.6701
98,500.0000,492.7449
99,500.0000,492.8182
100,500.0000,492.8900
101,500.0000,492.9604
102,500.0000,493.0294
103,500.0000,493.0971
104,500.0000,493.1635
105,500.0000,493.2286
106,500.0000,493.2925
107,500.0000,493.3551
108,500.0000,493.4167
109,500.0000,493.4771
110,500.0000,493.5364
111,500.0000,493.5946
112,500.0000,493.6518
113,500.0000,493.7080
114,500.0000,493.7632
115,500.0000,493.8174
116,500.0000,493.8707
117,500.0000,493.9231
118,500.0000,493.9746
119,500.0000,494.0252
120,500.0000,494.0750
121,500.0000,494.1240
122,500.0000,494.1721
123,500.0000,494.2195
124,500.0000,494.2661
125,500.0000,494.3120
126,500.0000,494.3571
127,500.0000,494.4016
128,500.0000,494.4453
129,500.0000,494.4884
130,500.0000,494.5308
131,500.0000,494.5725
132,500.0000,494.6136
133,500.0000,494.6541
134,500.0000,494.6940
135,500.0000,494.7333
136,500.0000,494.7721
137,500.0000,494.8102
138,500.0000,494.8478
139,500.0000,494.8849
140,500.0000,494.9214
141,500.0000,494.9574
142,500.0000,494.9930
143,500.0000,495.0280
144,500.0000,495.0625
145,500.0000,495.0966
146,500.0000,495.1301
147,500.0000,495.1633
148,500.0000,495.1959
149,500.0000,495.2282
150,500.0000,495.2600
151,500.0000,495.2914
152,500.0000,495.3224
153,500.0000,495.3529
154,500.0000,495.3831
155,500.0000,495.4129
156,500.0000,495.4423
157,500.0000,495.4713
158,500.0000,495.5000
159,500.0000,495.5283
160,500.0000,495.5562
161,500.0000,495.5839
162,500.0000,495.6111
163,500.0000,495.6380
164,500.0000,495.6646
165,500.0000,495.6909
166,500.0000,495.7169
167,500.0000,495.7425
168,500.0000,495.7679
169,500.0000,495.7929
170,500.0000,495.8176
171,500.0000,495.8421
172,500.0000,495.8663
173,500.0000,495.8902
174,500.0000,495.9138
175,500.0000,495.9371
176,500.0000,495.9602
177,500.0000,495.9831
178,500.0000,496.0056
179,500.0000,496.0279
180,500.0000,496.0500
181,500.0000,496.0718
182,500.0000,496.0934
