Episode,Score,AvgScore
1,0.0000,0.0000
2,1.0000,0.5000
3,0.0000,0.3333
4,0.0000,0.2500
5,0.0000,0.2000
6,0.0000,0.1667
7,0.0000,0.1429
8,0.0000,0.1250
9,0.0000,0.1111
10,0.0000,0.1000
11,0.0000,0.0909
12,0.0000,0.0833
13,0.0000,0.0769
14,0.0000,0.0714
15,0.0000,0.0667
16,0.0000,0.0625
17,0.0000,0.0588
18,1.0000,0.1111
19,0.0000,0.1053
20,0.0000,0.1000
21,0.0000,0.0952
22,0.0000,0.0909
23,0.0000,0.0870
24,1.0000,0.1250
25,0.0000,0.1200
26,0.0000,0.1154
27,0.0000,0.1111
28,0.0000,0.1071
29,0.0000,0.1034
30,0.0000,0.1000
31,0.0000,0.0968
32,0.0000,0.0938
33,0.0000,0.0909
34,0.0000,0.0882
35,0.0000,0.0857
36,1.0000,0.1111
37,0.0000,0.1081
38,0.0000,0.1053
39,1.0000,0.1282
40,0.0000,0.1250
41,1.0000,0.1463
42,0.0000,0.1429
43,0.0000,0.1395
44,0.0000,0.1364
45,0.0000,0.1333
46,0.0000,0.1304
47,0.0000,0.1277
48,1.0000,0.1458
49,0.0000,0.1429
50,0.0000,0.1400
51,0.0000,0.1373
52,0.0000,0.1346
53,0.0000,0.1321
54,0.0000,0.1296
55,0.0000,0.1273
56,0.0000,0.1250
57,0.0000,0.1228
58,0.0000,0.1207
59,0.0000,0.1186
60,1.0000,0.1333
61,0.0000,0.1311
62,0.0000,0.1290
63,0.0000,0.1270
64,0.0000,0.1250
65,0.0000,0.1231
66,0.0000,0.1212
67,0.0000,0.1194
68,1.0000,0.1324
69,0.0000,0.1304
70,0.0000,0.1286
71,0.0000,0.1268
72,0.0000,0.1250
73,0.0000,0.1233
74,0.0000,0.1216
75,0.0000,0.1200
76,0.0000,0.1184
77,0.0000,0.1169
78,0.0000,0.1154
79,0.0000,0.1139
80,0.0000,0.1125
81,0.0000,0.1111
82,0.0000,0.1098
83,0.0000,0.1084
84,0.0000,0.1071
85,0.0000,0.1059
86,0.0000,0.1047
87,0.0000,0.1034
88,0.0000,0.1023
89,0.0000,0.1011
90,0.0000,0.1000
91,0.0000,0.0989
92,0.0000,0.0978
93,1.0000,0.1075
94,1.0000,0.1170
95,1.0000,0.1263
96,0.0000,0.1250
97,0.0000,0.1237
98,0.0000,0.1224
99,0.0000,0.1212
100,0.0000,0.1200
101,0.0000,0.1188
102,0.0000,0.1176
103,1.0000,0.1262
104,0.0000,0.1250
105,0.0000,0.1238
106,0.0000,0.1226
107,0.0000,0.1215
108,0.0000,0.1204
109,0.0000,0.1193
110,0.0000,0.1182
111,1.0000,0.1261
112,1.0000,0.1339
113,0.0000,0.1327
114,0.0000,0.1316
115,1.0000,0.1391
116,0.0000,0.1379
117,0.0000,0.1368
118,0.0000,0.1356
119,0.0000,0.1345
120,0.0000,0.1333
121,0.0000,0.1322
122,1.0000,0.1393
123,0.0000,0.1382
124,0.0000,0.1371
125,0.0000,0.1360
126,0.0000,0.1349
127,0.0000,0.1339
128,1.0000,0.1406
129,0.0000,0.1395
130,0.0000,0.1385
131,0.0000,0.1374
132,0.0000,0.1364
133,0.0000,0.1353
134,0.0000,0.1343
135,0.0000,0.1333
136,0.0000,0.1324
137,0.0000,0.1314
138,0.0000,0.1304
139,0.0000,0.1295
140,0.0000,0.1286
141,0.0000,0.1277
142,0.0000,0.1268
143,0.0000,0.1259
144,0.0000,0.1250
145,1.0000,0.1310
146,0.0000,0.1301
147,0.0000,0.1293
148,1.0000,0.1351
149,0.0000,0.1342
150,0.0000,0.1333
151,0.0000,0.1325
152,0.0000,0.1316
153,0.0000,0.1307
154,0.0000,0.1299
155,0.0000,0.1290
156,1.0000,0.1346
157,0.0000,0.1338
158,1.0000,0.1392
159,1.0000,0.1447
160,0.0000,0.1437
161,1.0000,0.1491
162,1.0000,0.1543
163,0.0000,0.1534
164,0.0000,0.1524
165,0.0000,0.1515
166,0.0000,0.1506
167,0.0000,0.1497
168,1.0000,0.1548
169,0.0000,0.1538
170,0.0000,0.1529
171,1.0000,0.1579
172,0.0000,0.1570
173,1.0000,0.1618
174,0.0000,0.1609
175,0.0000,0.1600
176,0.0000,0.1591
177,1.0000,0.1638
178,0.0000,0.1629
179,0.0000,0.1620
180,0.0000,0.1611
181,0.0000,0.1602
182,0.0000,0.1593
183,0.0000,0.1585
184,1.0000,0.1630
185,0.0000,0.1622
186,0.0000,0.1613
187,0.0000,0.1604
188,0.0000,0.1596
189,0.0000,0.1587
190,0.0000,0.1579
191,0.0000,0.1571
192,0.0000,0.1562
193,1.0000,0.1606
194,0.0000,0.1598
195,1.0000,0.1641
196,0.0000,0.1633
197,0.0000,0.1624
198,1.0000,0.1667
199,0.0000,0.1658
200,1.0000,0.1700
201,0.0000,0.1692
202,0.0000,0.1683
203,0.0000,0.1675
204,0.0000,0.1667
205,0.0000,0.1659
206,1.0000,0.1699
207,0.0000,0.1691
208,0.0000,0.1683
209,0.0000,0.1675
210,0.0000,0.1667
211,0.0000,0.1659
212,0.0000,0.1651
213,0.0000,0.1643
214,1.0000,0.1682
215,0.0000,0.1674
216,1.0000,0.1713
217,1.0000,0.1751
218,0.0000,0.1743
219,1.0000,0.1781
220,0.0000,0.1773
221,0.0000,0.1765
222,1.0000,0.1802
223,0.0000,0.1794
224,1.0000,0.1830
225,1.0000,0.1867
226,0.0000,0.1858
227,0.0000,0.1850
228,1.0000,0.1886
229,1.0000,0.1921
230,0.0000,0.1913
231,0.0000,0.1905
232,1.0000,0.1940
233,0.0000,0.1931
234,0.0000,0.1923
235,0.0000,0.1915
236,0.0000,0.1907
237,0.0000,0.1899
238,1.0000,0.1933
239,0.0000,0.1925
240,0.0000,0.1917
241,0.0000,0.1909
242,0.0000,0.1901
243,0.0000,0.1893
244,1.0000,0.1926
245,0.0000,0.1918
246,1.0000,0.1951
247,0.0000,0.1943
248,0.0000,0.1935
249,0.0000,0.1928
250,1.0000,0.1960
251,0.0000,0.1952
252,0.0000,0.1944
253,0.0000,0.1937
254,0.0000,0.1929
255,1.0000,0.1961
256,1.0000,0.1992
257,0.0000,0.1984
258,0.0000,0.1977
259,0.0000,0.1969
260,0.0000,0.1962
261,0.0000,0.1954
262,0.0000,0.1947
263,0.0000,0.1939
264,0.0000,0.1932
265,0.0000,0.1925
266,1.0000,0.1955
267,0.0000,0.1948
268,1.0000,0.1978
269,1.0000,0.2007
270,0.0000,0.2000
271,0.0000,0.1993
272,0.0000,0.1985
273,0.0000,0.1978
274,0.0000,0.1971
275,0.0000,0.1964
276,0.0000,0.1957
277,0.0000,0.1949
278,0.0000,0.1942
279,0.0000,0.1935
280,1.0000,0.1964
281,0.0000,0.1957
282,0.0000,0.1950
283,0.0000,0.1943
284,1.0000,0.1972
285,1.0000,0.2000
286,1.0000,0.2028
287,0.0000,0.2021
288,0.0000,0.2014
289,0.0000,0.2007
290,0.0000,0.2000
291,0.0000,0.1993
292,0.0000,0.1986
293,1.0000,0.2014
294,0.0000,0.2007
295,1.0000,0.2034
296,0.0000,0.2027
297,0.0000,0.2020
298,0.0000,0.2013
299,0.0000,0.2007
300,0.0000,0.2000
301,1.0000,0.2027
302,0.0000,0.2020
303,0.0000,0.2013
304,1.0000,0.2039
305,0.0000,0.2033
306,0.0000,0.2026
307,1.0000,0.2052
308,0.0000,0.2045
309,1.0000,0.2071
310,1.0000,0.2097
311,1.0000,0.2122
312,0.0000,0.2115
313,1.0000,0.2141
314,1.0000,0.2166
315,0.0000,0.2159
316,0.0000,0.2152
317,0.0000,0.2145
318,0.0000,0.2138
319,0.0000,0.2132
320,0.0000,0.2125
321,0.0000,0.2118
322,0.0000,0.2112
323,0.0000,0.2105
324,0.0000,0.2099
325,0.0000,0.2092
326,1.0000,0.2117
327,0.0000,0.2110
328,0.0000,0.2104
329,0.0000,0.2097
330,1.0000,0.2121
331,0.0000,0.2115
332,1.0000,0.2139
333,0.0000,0.2132
334,0.0000,0.2126
335,0.0000,0.2119
336,0.0000,0.2113
337,0.0000,0.2107
338,0.0000,0.2101
339,0.0000,0.2094
340,0.0000,0.2088
341,0.0000,0.2082
342,0.0000,0.2076
343,0.0000,0.2070
344,1.0000,0.2093
345,0.0000,0.2087
346,0.0000,0.2081
347,0.0000,0.2075
348,1.0000,0.2098
349,1.0000,0.2120
350,1.0000,0.2143
351,1.0000,0.2165
352,0.0000,0.2159
353,0.0000,0.2153
354,0.0000,0.2147
355,1.0000,0.2169
356,0.0000,0.2163
357,0.0000,0.2157
358,0.0000,0.2151
359,0.0000,0.2145
360,0.0000,0.2139
361,0.0000,0.2133
362,0.0000,0.2127
363,0.0000,0.2121
364,1.0000,0.2143
365,0.0000,0.2137
366,1.0000,0.2158
367,0.0000,0.2153
368,1.0000,0.2174
369,0.0000,0.2168
370,0.0000,0.2162
371,0.0000,0.2156
372,0.0000,0.2151
373,0.0000,0.2145
374,1.0000,0.2166
375,0.0000,0.2160
376,1.0000,0.2181
377,0.0000,0.2175
378,1.0000,0.2196
379,1.0000,0.2216
380,0.0000,0.2211
381,0.0000,0.2205
382,0.0000,0.2199
383,0.0000,0.2193
384,0.0000,0.2188
385,0.0000,0.2182
386,0.0000,0.2176
387,1.0000,0.2196
388,0.0000,0.2191
389,0.0000,0.2185
390,0.0000,0.2179
391,0.0000,0.2174
392,0.0000,0.2168
393,0.0000,0.2163
394,0.0000,0.2157
395,0.0000,0.2152
396,0.0000,0.2146
397,0.0000,0.2141
398,0.0000,0.2136
399,1.0000,0.2155
400,1.0000,0.2175
401,0.0000,0.2170
402,0.0000,0.2164
403,1.0000,0.2184
404,1.0000,0.2203
405,1.0000,0.2222
406,0.0000,0.2217
407,0.0000,0.2211
408,0.0000,0.2206
409,0.0000,0.2200
410,0.0000,0.2195
411,1.0000,0.2214
412,0.0000,0.2209
413,0.0000,0.2203
414,0.0000,0.2198
415,0.0000,0.2193
416,0.0000,0.2188
417,0.0000,0.2182
418,0.0000,0.2177
419,0.0000,0.2172
420,1.0000,0.2190
421,0.0000,0.2185
422,0.0000,0.2180
423,0.0000,0.2175
424,1.0000,0.2193
425,1.0000,0.2212
426,1.0000,0.2230
427,0.0000,0.2225
428,1.0000,0.2243
429,1.0000,0.2261
430,0.0000,0.2256
431,0.0000,0.2251
432,0.0000,0.2245
433,1.0000,0.2263
434,0.0000,0.2258
435,1.0000,0.2276
436,1.0000,0.2294
437,0.0000,0.2288
438,1.0000,0.2306
439,1.0000,0.2323
440,1.0000,0.2341
441,0.0000,0.2336
442,1.0000,0.2353
443,1.0000,0.2370
444,1.0000,0.2387
445,0.0000,0.2382
446,1.0000,0.2399
447,0.0000,0.2394
448,1.0000,0.2411
449,0.0000,0.2405
450,0.0000,0.2400
451,1.0000,0.2417
452,0.0000,0.2412
453,1.0000,0.2428
454,1.0000,0.2445
455,0.0000,0.2440
456,1.0000,0.2456
457,0.0000,0.2451
458,0.0000,0.2445
459,1.0000,0.2462
460,0.0000,0.2457
461,1.0000,0.2473
462,0.0000,0.2468
463,0.0000,0.2462
464,1.0000,0.2478
465,1.0000,0.2495
466,1.0000,0.2511
467,1.0000,0.2527
468,1.0000,0.2543
469,0.0000,0.2537
470,1.0000,0.2553
471,0.0000,0.2548
472,0.0000,0.2542
473,0.0000,0.2537
474,0.0000,0.2532
475,1.0000,0.2547
476,1.0000,0.2563
477,0.0000,0.2558
478,1.0000,0.2573
479,0.0000,0.2568
480,0.0000,0.2562
481,1.0000,0.2578
482,0.0000,0.2573
483,0.0000,0.2567
484,0.0000,0.2562
485,1.0000,0.2577
486,1.0000,0.2593
487,1.0000,0.2608
488,0.0000,0.2602
489,0.0000,0.2597
490,0.0000,0.2592
491,0.0000,0.2587
492,1.0000,0.2602
493,1.0000,0.2617
494,0.0000,0.2611
495,0.0000,0.2606
496,1.0000,0.2621
497,1.0000,0.2636
498,0.0000,0.2631
499,0.0000,0.2625
500,0.0000,0.2620
501,1.0000,0.2635
502,0.0000,0.2629
503,0.0000,0.2624
504,0.0000,0.2619
505,0.0000,0.2614
506,1.0000,0.2628
507,0.0000,0.2623
508,0.0000,0.2618
509,0.0000,0.2613
510,0.0000,0.2608
511,0.0000,0.2603
512,0.0000,0.2598
513,0.0000,0.2593
514,1.0000,0.2607
515,0.0000,0.2602
516,0.0000,0.2597
517,0.0000,0.2592
518,1.0000,0.2606
519,0.0000,0.2601
520,0.0000,0.2596
521,0.0000,0.2591
522,1.0000,0.2605
523,1.0000,0.2620
524,0.0000,0.2615
525,0.0000,0.2610
526,1.0000,0.2624
527,1.0000,0.2638
528,0.0000,0.2633
529,1.0000,0.2647
530,0.0000,0.2642
531,1.0000,0.2655
532,1.0000,0.2669
533,1.0000,0.2683
534,0.0000,0.2678
535,0.0000,0.2673
536,0.0000,0.2668
537,1.0000,0.2682
538,0.0000,0.2677
539,0.0000,0.2672
540,1.0000,0.2685
541,0.0000,0.2680
542,0.0000,0.2675
543,0.0000,0.2670
544,1.0000,0.2684
545,0.0000,0.2679
546,0.0000,0.2674
547,0.0000,0.2669
548,0.0000,0.2664
549,1.0000,0.2678
550,0.0000,0.2673
551,1.0000,0.2686
552,0.0000,0.2681
553,0.0000,0.2676
554,0.0000,0.2671
555,0.0000,0.2667
556,1.0000,0.2680
557,0.0000,0.2675
558,1.0000,0.2688
559,1.0000,0.2701
560,0.0000,0.2696
561,0.0000,0.2692
562,0.0000,0.2687
563,0.0000,0.2682
564,1.0000,0.2695
565,0.0000,0.2690
566,0.0000,0.2686
567,1.0000,0.2698
568,1.0000,0.2711
569,0.0000,0.2707
570,0.0000,0.2702
571,1.0000,0.2715
572,1.0000,0.2727
573,0.0000,0.2723
574,1.0000,0.2735
575,0.0000,0.2730
576,0.0000,0.2726
577,0.0000,0.2721
578,1.0000,0.2734
579,0.0000,0.2729
580,0.0000,0.2724
581,0.0000,0.2719
582,1.0000,0.2732
583,0.0000,0.2727
584,1.0000,0.2740
585,0.0000,0.2735
586,0.0000,0.2730
587,1.0000,0.2743
588,1.0000,0.2755
589,1.0000,0.2767
590,1.0000,0.2780
591,0.0000,0.2775
592,0.0000,0.2770
593,0.0000,0.2766
594,1.0000,0.2778
595,0.0000,0.2773
596,0.0000,0.2768
597,0.0000,0.2764
598,0.0000,0.2759
599,0.0000,0.2755
600,0.0000,0.2750
601,1.0000,0.2762
602,1.0000,0.2774
603,0.0000,0.2769
604,1.0000,0.2781
605,0.0000,0.2777
606,0.0000,0.2772
607,0.0000,0.2768
608,1.0000,0.2780
609,1.0000,0.2791
610,1.0000,0.2803
611,1.0000,0.2815
612,0.0000,0.2810
613,0.0000,0.2806
614,0.0000,0.2801
615,1.0000,0.2813
616,0.0000,0.2808
617,0.0000,0.2804
618,1.0000,0.2816
619,0.0000,0.2811
620,0.0000,0.2806
621,0.0000,0.2802
622,1.0000,0.2814
623,0.0000,0.2809
624,0.0000,0.2804
625,0.0000,0.2800
626,0.0000,0.2796
627,0.0000,0.2791
628,0.0000,0.2787
629,0.0000,0.2782
630,0.0000,0.2778
631,0.0000,0.2773
632,0.0000,0.2769
633,0.0000,0.2765
634,1.0000,0.2776
635,0.0000,0.2772
636,1.0000,0.2783
637,0.0000,0.2779
638,0.0000,0.2774
639,0.0000,0.2770
640,0.0000,0.2766
641,0.0000,0.2761
642,1.0000,0.2773
643,0.0000,0.2768
644,0.0000,0.2764
645,0.0000,0.2760
646,0.0000,0.2755
647,0.0000,0.2751
648,0.0000,0.2747
649,0.0000,0.2743
650,1.0000,0.2754
651,1.0000,0.2765
652,0.0000,0.2761
653,1.0000,0.2772
654,0.0000,0.2768
655,0.0000,0.2763
656,1.0000,0.2774
657,0.0000,0.2770
658,0.0000,0.2766
659,1.0000,0.2777
660,0.0000,0.2773
661,1.0000,0.2784
662,0.0000,0.2779
663,1.0000,0.2790
664,1.0000,0.2801
665,1.0000,0.2812
666,0.0000,0.2808
667,1.0000,0.2819
668,0.0000,0.2814
669,1.0000,0.2825
670,0.0000,0.2821
671,0.0000,0.2817
672,1.0000,0.2827
673,0.0000,0.2823
674,0.0000,0.2819
675,1.0000,0.2830
676,1.0000,0.2840
677,0.0000,0.2836
678,0.0000,0.2832
679,0.0000,0.2828
680,1.0000,0.2838
681,0.0000,0.2834
682,0.0000,0.2830
683,0.0000,0.2826
684,1.0000,0.2836
685,0.0000,0.2832
686,0.0000,0.2828
687,0.0000,0.2824
688,0.0000,0.2820
689,1.0000,0.2830
690,1.0000,0.2841
691,1.0000,0.2851
692,1.0000,0.2861
693,1.0000,0.2872
694,0.0000,0.2867
695,1.0000,0.2878
696,1.0000,0.2888
697,0.0000,0.2884
698,1.0000,0.2894
699,1.0000,0.2904
700,0.0000,0.2900
701,1.0000,0.2910
702,1.0000,0.2920
703,0.0000,0.2916
704,0.0000,0.2912
705,0.0000,0.2908
706,0.0000,0.2904
707,0.0000,0.2900
708,0.0000,0.2895
709,0.0000,0.2891
710,0.0000,0.2887
711,1.0000,0.2897
712,0.0000,0.2893
713,1.0000,0.2903
714,1.0000,0.2913
715,0.0000,0.2909
716,1.0000,0.2919
717,0.0000,0.2915
718,0.0000,0.2911
719,0.0000,0.2907
720,0.0000,0.2903
721,0.0000,0.2899
722,0.0000,0.2895
723,0.0000,0.2891
724,1.0000,0.2901
725,0.0000,0.2897
726,0.0000,0.2893
727,1.0000,0.2902
728,1.0000,0.2912
729,0.0000,0.2908
730,0.0000,0.2904
731,0.0000,0.2900
732,0.0000,0.2896
733,0.0000,0.2892
734,0.0000,0.2888
735,1.0000,0.2898
736,0.0000,0.2894
737,0.0000,0.2890
738,0.0000,0.2886
739,0.0000,0.2882
740,1.0000,0.2892
741,0.0000,0.2888
742,1.0000,0.2898
743,0.0000,0.2894
744,0.0000,0.2890
745,1.0000,0.2899
746,1.0000,0.2909
747,1.0000,0.2918
748,0.0000,0.2914
749,1.0000,0.2924
750,0.0000,0.2920
751,1.0000,0.2929
752,0.0000,0.2926
753,0.0000,0.2922
754,1.0000,0.2931
755,1.0000,0.2940
756,1.0000,0.2950
757,0.0000,0.2946
758,1.0000,0.2955
759,1.0000,0.2964
760,1.0000,0.2974
761,1.0000,0.2983
762,0.0000,0.2979
763,0.0000,0.2975
764,0.0000,0.2971
765,1.0000,0.2980
766,1.0000,0.2990
767,1.0000,0.2999
768,0.0000,0.2995
769,0.0000,0.2991
770,0.0000,0.2987
771,1.0000,0.2996
772,1.0000,0.3005
773,1.0000,0.3014
774,0.0000,0.3010
775,1.0000,0.3019
776,0.0000,0.3015
777,0.0000,0.3012
778,0.0000,0.3008
779,0.0000,0.3004
780,1.0000,0.3013
781,1.0000,0.3022
782,1.0000,0.3031
783,0.0000,0.3027
784,0.0000,0.3023
785,1.0000,0.3032
786,1.0000,0.3041
787,1.0000,0.3050
788,1.0000,0.3058
789,0.0000,0.3054
790,1.0000,0.3063
791,1.0000,0.3072
792,1.0000,0.3081
793,0.0000,0.3077
794,1.0000,0.3086
795,0.0000,0.3082
796,1.0000,0.3090
797,0.0000,0.3087
798,1.0000,0.3095
799,0.0000,0.3091
800,0.0000,0.3088
801,0.0000,0.3084
802,1.0000,0.3092
803,0.0000,0.3088
804,0.0000,0.3085
805,0.0000,0.3081
806,1.0000,0.3089
807,1.0000,0.3098
808,1.0000,0.3106
809,1.0000,0.3115
810,0.0000,0.3111
811,0.0000,0.3107
812,0.0000,0.3103
813,1.0000,0.3112
814,0.0000,0.3108
815,1.0000,0.3117
816,1.0000,0.3125
817,0.0000,0.3121
818,1.0000,0.3130
819,1.0000,0.3138
820,0.0000,0.3134
821,0.0000,0.3130
822,0.0000,0.3127
823,1.0000,0.3135
824,1.0000,0.3143
825,1.0000,0.3152
826,1.0000,0.3160
827,1.0000,0.3168
828,0.0000,0.3164
829,1.0000,0.3172
830,1.0000,0.3181
831,0.0000,0.3177
832,0.0000,0.3173
833,1.0000,0.3181
834,0.0000,0.3177
835,0.0000,0.3174
836,0.0000,0.3170
837,0.0000,0.3166
838,0.0000,0.3162
839,0.0000,0.3159
840,0.0000,0.3155
841,0.0000,0.3151
842,0.0000,0.3147
843,1.0000,0.3155
844,0.0000,0.3152
845,0.0000,0.3148
846,0.0000,0.3144
847,0.0000,0.3140
848,0.0000,0.3137
849,0.0000,0.3133
850,1.0000,0.3141
851,0.0000,0.3137
852,0.0000,0.3134
853,0.0000,0.3130
854,0.0000,0.3126
855,1.0000,0.3135
856,0.0000,0.3131
857,1.0000,0.3139
858,1.0000,0.3147
859,0.0000,0.3143
860,1.0000,0.3151
861,1.0000,0.3159
862,1.0000,0.3167
863,1.0000,0.3175
864,0.0000,0.3171
865,0.0000,0.3168
866,1.0000,0.3176
867,0.0000,0.3172
868,0.0000,0.3168
869,1.0000,0.3176
870,0.0000,0.3172
871,0.0000,0.3169
872,1.0000,0.3177
873,0.0000,0.3173
874,0.0000,0.3169
875,1.0000,0.3177
876,1.0000,0.3185
877,0.0000,0.3181
878,1.0000,0.3189
879,0.0000,0.3185
880,1.0000,0.3193
881,0.0000,0.3190
882,0.0000,0.3186
883,0.0000,0.3182
884,1.0000,0.3190
885,0.0000,0.3186
886,0.0000,0.3183
887,0.0000,0.3179
888,0.0000,0.3176
889,0.0000,0.3172
890,0.0000,0.3169
891,0.0000,0.3165
892,0.0000,0.3161
893,1.0000,0.3169
894,0.0000,0.3166
895,1.0000,0.3173
896,0.0000,0.3170
897,1.0000,0.3177
898,0.0000,0.3174
899,0.0000,0.3170
900,0.0000,0.3167
901,1.0000,0.3174
902,0.0000,0.3171
903,1.0000,0.3178
904,1.0000,0.3186
905,0.0000,0.3182
906,0.0000,0.3179
907,0.0000,0.3175
908,0.0000,0.3172
909,1.0000,0.3179
910,1.0000,0.3187
911,1.0000,0.3194
912,1.0000,0.3202
